,dt,weekday,year,id_driver,id_carrier_number,dim_carrier_type,dim_carrier_company_name,home_base_city,home_base_state,carrier_trucks,num_trucks,interested_in_drayage,port_qualified,signup_source,ts_signup,ts_first_approved,days_signup_to_approval,driver_with_twic,dim_preferred_lanes,first_load_date,load_day,loads,marketplace_loads_otr,marketplace_loads_atlas,marketplace_loads,brokerage_loads_otr,brokerage_loads_atlas,brokerage_loads
83425,2021-02-05,Friday,2021,37085,C0098562,Fleet,States Runner Trucking Inc,Downey,CA,"[""poweronly""]",2.0,yes,yes,Other,2020-12-03 21:38:36+00:00,2020-12-03 21:38:49+00:00,0.0,yes,,2020-12-04,2021-02-05,2,0,89,89,0,24,24
83426,2019-09-12,Thursday,2019,16862,U0104746,Owner Operator,KAB LOGISTIC,Compton,CA,"[""poweronly""]",1.0,not specified,no,Other,2018-12-08 03:04:03+00:00,2019-05-13 18:46:57+00:00,156.0,no,,2019-06-09,2019-09-12,1,2,0,2,0,0,0
83427,2019-12-27,Friday,2019,31206,C0096762,Fleet,MONTES CORPORATION,Los Angeles,CA,"[""dryvan"", ""poweronly""]",17.0,yes,yes,Other,2019-10-17 22:14:38+00:00,2019-10-17 22:16:16+00:00,0.0,no,,2019-12-03,2019-12-27,2,62,85,147,22,14,36
83428,2019-02-06,Wednesday,2019,16232,C0093581,Fleet,LOS QUIOTES TRUCKING INC,West Covina,CA,"[""dryvan"", ""poweronly""]",4.0,not specified,no,Other,2018-11-15 22:39:45+00:00,2018-11-15 22:40:03+00:00,0.0,no,,2018-12-07,2019-02-06,1,38,2,40,6,0,6
83429,2020-11-19,Thursday,2020,28549,U0116144,Owner Operator,R Mora Trucking,Fontana,CA,"[""poweronly""]",1.0,yes,no,Other,2019-09-20 16:09:49+00:00,2019-09-20 16:20:28+00:00,0.0,no,,2019-12-02,2020-11-19,1,0,84,84,0,0,0
83430,2021-01-20,Wednesday,2021,35425,C0095716,Fleet,Northeast Southwest Logistics,Bakersfield,CA,"[""dryvan"", ""poweronly""]",6.0,not specified,no,Other,2019-06-24 19:10:32+00:00,2019-06-24 19:11:30+00:00,0.0,no,,2020-08-03,2021-01-20,1,14,13,27,0,0,0
83431,2020-05-22,Friday,2020,29540,U0117027,Owner Operator,Sanchez Logistic INC,Los Angeles,CA,"[""poweronly""]",1.0,yes,yes,Other,2019-10-15 17:37:23+00:00,2019-10-15 17:40:44+00:00,0.0,yes,,2020-01-06,2020-05-22,2,0,217,217,0,6,6
83432,2016-12-22,Thursday,2016,1183,C0090144,Fleet,Lipstick Transportation,La Puente,CA,"[""dryvan""]",5.0,not specified,no,Other,2016-04-22 23:05:26+00:00,,,no,,2016-07-13,2016-12-22,2,0,0,0,101,0,101
83433,2017-01-21,Saturday,2017,1405,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-08-14,2017-01-21,1,0,0,0,17,0,17
83434,2017-12-26,Tuesday,2017,3663,C0090004,Fleet,IDC OTR,City of industry,CA,"[""dryvan"", ""reefer""]",17.0,not specified,no,Other,2016-01-07 18:49:14+00:00,,,no,,2016-09-29,2017-12-26,1,17,0,17,673,0,673
83435,2021-01-23,Saturday,2021,37582,C0098627,Fleet,Curiel transport llc,Anaheim,CA,"[""poweronly""]",15.0,not specified,no,Mobile,2020-12-26 00:37:53+00:00,2020-12-29 17:48:32+00:00,3.0,no,,2021-01-13,2021-01-23,2,0,14,14,0,0,0
83436,2019-07-28,Sunday,2019,22863,U0110485,Owner Operator,Ordonez Trucking Transportation,Los Angeles,CA,"[""dryvan""]",1.0,not specified,no,Other,2019-05-14 05:37:03+00:00,2019-05-28 20:24:38+00:00,14.0,no,,2019-06-24,2019-07-28,1,8,0,8,0,0,0
83437,2019-12-23,Monday,2019,24242,U0111781,Owner Operator,Witron DBA: Scuderia Trucking,Los Angeles,CA,"[""poweronly""]",1.0,not specified,yes,Other,2019-06-08 07:22:43+00:00,2019-08-06 15:32:35+00:00,59.0,yes,,2019-10-19,2019-12-23,4,21,193,214,0,3,3
83438,2018-08-02,Thursday,2018,640,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-04-05,2018-08-02,1,0,0,0,171,0,171
83439,2020-09-02,Wednesday,2020,31366,C0096446,Fleet,ROADMOND LOGISTICS INC.,San Diego,CA,"[""dryvan"", ""poweronly""]",31.0,yes,no,Other,2019-09-13 16:22:24+00:00,2019-09-13 16:24:44+00:00,0.0,no,,2019-12-04,2020-09-02,1,0,0,0,15,0,15
83440,2019-08-03,Saturday,2019,26609,C0095984,Fleet,WESTERN CONTAIN TRANSPORTATION LLC,Los Angeles,CA,"[""poweronly""]",4.0,yes,yes,Other,2019-07-24 23:12:10+00:00,2019-07-24 23:13:26+00:00,0.0,yes,,2019-08-03,2019-08-03,1,2,895,897,0,93,93
83441,2019-08-19,Monday,2019,26541,C0095171,Fleet,FTS EXPRESS INC,Los Angeles,CA,"[""dryvan"", ""poweronly""]",17.0,yes,no,Other,2019-05-02 22:28:07+00:00,2019-05-02 22:32:22+00:00,0.0,no,,2019-08-02,2019-08-19,1,0,0,0,61,0,61
83442,2018-11-03,Saturday,2018,13560,C0092813,Fleet,Campos Trucking inc,Compton,CA,"[""poweronly""]",4.0,yes,yes,Other,2018-08-17 20:11:01+00:00,2019-03-25 17:54:43+00:00,219.0,no,,2018-08-20,2018-11-03,1,18,0,18,91,0,91
83443,2019-09-24,Tuesday,2019,14230,U0102503,Owner Operator,QJ Trucking inc,Los Angeles,CA,"[""dryvan""]",1.0,not specified,no,Other,2018-09-11 23:14:29+00:00,2019-09-25 21:11:33+00:00,378.0,no,,2018-12-28,2019-09-24,1,3,0,3,74,0,74
83444,2020-07-13,Monday,2020,31146,U0118443,Owner Operator,CHS Trucking inc.,Long Beach,CA,"[""poweronly""]",1.0,yes,yes,Mobile,2019-11-26 10:43:32+00:00,2019-12-09 17:23:25+00:00,13.0,yes,,2019-12-30,2020-07-13,3,3,325,328,0,27,27
83445,2021-02-03,Wednesday,2021,34492,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,yes,,2020-05-14,2021-02-03,3,0,0,0,0,0,0
83446,2020-12-09,Wednesday,2020,35581,U0122053,Owner Operator,Eagle star logistics inc,Moreno Valley,CA,"[""poweronly""]",1.0,yes,yes,Other,2020-08-08 02:52:33+00:00,2020-10-15 21:44:29+00:00,68.0,yes,,2020-10-16,2020-12-09,7,0,369,369,0,44,44
83447,2019-05-31,Friday,2019,21759,U0109432,Owner Operator,"Parris Transporting Solutions, LLC",Torrance,CA,"[""poweronly""]",1.0,not specified,no,Mobile,2019-04-18 22:42:22+00:00,2019-05-14 16:49:34+00:00,25.0,no,,2019-05-16,2019-05-31,2,10,0,10,2,0,2
83448,2017-12-22,Friday,2017,4087,U0093903,Owner Operator,Urquilla Trucking,Los Angeles,CA,"[""boxtruck""]",1.0,not specified,no,Other,2016-11-29 06:49:37+00:00,,,no,,2017-12-15,2017-12-22,1,5,0,5,2,0,2
83449,2019-02-11,Monday,2019,4538,C0090412,Fleet,Carlos Flores,Los Angeles,CA,"[""dryvan""]",20.0,not specified,no,Other,2017-01-11 18:17:00+00:00,2019-06-28 19:55:04+00:00,898.0,no,,2017-01-11,2019-02-11,1,52,0,52,283,0,283
83450,2018-07-31,Tuesday,2018,12679,U0101112,Owner Operator,A Gudiel Trucking Inc.,Los Angeles,CA,"[""poweronly""]",1.0,not specified,no,Other,2018-07-09 17:43:57+00:00,2019-05-14 17:26:32+00:00,308.0,no,,2018-07-12,2018-07-31,1,102,0,102,11,0,11
83451,2018-08-29,Wednesday,2018,6355,C0090562,Fleet,RJ AND SONS,Los Angeles,CA,"[""dryvan"", ""boxtruck""]",7.0,not specified,no,Other,2017-05-10 16:10:48+00:00,2019-09-23 19:33:35+00:00,866.0,no,,2018-02-12,2018-08-29,1,7,0,7,0,0,0
83452,2018-05-31,Thursday,2018,7488,U0096763,Owner Operator,K&L Transportation,Rancho Palos Verdes,CA,"[""dryvan""]",1.0,yes,no,Other,2017-08-11 22:51:35+00:00,2019-04-03 00:45:42+00:00,599.0,no,,2017-08-14,2018-05-31,1,97,0,97,86,0,86
83453,2020-02-27,Thursday,2020,21136,U0108806,Owner Operator,GTZ TRANSPORT INC,Calexico,CA,"[""poweronly""]",1.0,not specified,no,Other,2019-04-02 18:38:43+00:00,2019-04-02 18:44:21+00:00,0.0,no,,2019-04-05,2020-02-27,1,68,0,68,41,0,41
83454,2020-09-10,Thursday,2020,24731,C0095540,Fleet,WEST COAST SHIPPERS INC,Los Angeles,CA,"[""poweronly""]",4.0,not specified,yes,Other,2019-06-04 01:57:05+00:00,2019-06-11 19:46:29+00:00,7.0,yes,,2020-05-01,2020-09-10,9,0,203,203,0,137,137
83455,2017-05-03,Wednesday,2017,329,C0090004,Fleet,IDC OTR,City of industry,CA,"[""dryvan"", ""reefer""]",17.0,not specified,no,Other,2016-01-07 18:49:14+00:00,,,no,,2016-02-02,2017-05-03,1,21,0,21,338,0,338
83456,2017-03-21,Tuesday,2017,4540,C0090412,Fleet,Carlos Flores,Los Angeles,CA,"[""dryvan""]",20.0,not specified,no,Other,2017-01-11 18:17:00+00:00,2019-06-28 19:55:04+00:00,898.0,no,,2017-01-13,2017-03-21,2,1,0,1,174,0,174
83457,2021-02-10,Wednesday,2021,13709,C0092859,Fleet,MAXIMUS FREIGHT SOLUTIONS LLC,Carson,CA,"[""poweronly""]",12.0,not specified,no,Other,2018-08-23 17:15:11+00:00,2019-12-04 18:43:30+00:00,468.0,yes,,2018-09-14,2021-02-10,11,15,1,16,15,72,87
83458,2019-10-26,Saturday,2019,24817,U0112338,Owner Operator,Caveman transport,Fontana,CA,"[""poweronly""]",1.0,yes,no,Other,2019-06-23 15:26:08+00:00,2019-06-25 20:57:25+00:00,2.0,no,,2019-08-08,2019-10-26,1,84,54,138,260,3,263
83459,2019-09-27,Friday,2019,25981,U0113467,Owner Operator,Byron marroquin,El Monte,CA,"[""poweronly""]",1.0,not specified,no,Mobile,2019-07-19 23:45:34+00:00,2019-07-22 20:40:40+00:00,2.0,no,,2019-09-19,2019-09-27,1,2,0,2,42,0,42
83460,2020-10-21,Wednesday,2020,33517,C0097561,Fleet,ADC TRANSPORT INC,Paramount,CA,"[""poweronly""]",9.0,yes,yes,Other,2020-02-27 00:41:40+00:00,2020-02-28 22:31:09+00:00,1.0,yes,,2020-03-03,2020-10-21,6,36,402,438,0,112,112
83461,2019-09-12,Thursday,2019,17737,C0093932,Fleet,AJL TRANSPORTATION,Los Angeles,CA,"[""poweronly"", ""dryvan""]",2.0,not specified,no,Other,2018-12-28 16:16:03+00:00,2018-12-28 16:16:16+00:00,0.0,no,,2019-01-04,2019-09-12,1,14,7,21,6,0,6
83462,2019-12-04,Wednesday,2019,5608,U0095025,Owner Operator,Chuy's Trucking Service,Los Angeles,CA,"[""boxtruck""]",1.0,not specified,no,Other,2017-03-14 17:54:01+00:00,2019-02-26 21:49:56+00:00,714.0,no,,2017-03-28,2019-12-04,4,35,0,35,2230,0,2230
83463,2020-10-07,Wednesday,2020,35816,C0097260,Fleet,ONE SOURCE TRANSPORTATION & LOGISTICS,Long Beach,CA,"[""poweronly"", ""dryvan""]",7.0,yes,yes,Other,2019-12-30 18:41:14+00:00,2019-12-30 18:54:30+00:00,0.0,yes,,2020-08-27,2020-10-07,2,0,23,23,0,0,0
83464,2019-02-18,Monday,2019,18323,U0105984,Owner Operator,BETANCOURT TRUCKING,Montebello,CA,"[""poweronly""]",1.0,not specified,no,Other,2019-01-21 21:24:29+00:00,2019-01-21 21:28:13+00:00,0.0,no,,2019-01-24,2019-02-18,2,0,0,0,306,0,306
83465,2020-10-02,Friday,2020,18349,U0106014,Owner Operator,Blue Dragon Express ,Ontario,CA,"[""poweronly""]",1.0,yes,yes,Other,2019-01-22 20:16:54+00:00,2019-04-03 15:21:14+00:00,70.0,yes,,2020-02-25,2020-10-02,3,2,116,118,2,148,150
83466,2019-05-30,Thursday,2019,10740,U0099576,Owner Operator,JLA transport,Downey,CA,"[""poweronly""]",1.0,not specified,no,Other,2018-03-30 04:55:43+00:00,2020-04-01 14:24:18+00:00,733.0,no,,2018-04-23,2019-05-30,3,902,98,1000,144,2,146
83467,2019-10-15,Tuesday,2019,28974,C0096537,Fleet,ARELLANOS TRUCKING,Anaheim,CA,"[""poweronly""]",4.0,yes,no,Other,2019-09-25 16:45:43+00:00,2019-09-25 16:48:24+00:00,0.0,yes,,2019-10-02,2019-10-15,1,13,28,41,19,1,20
83468,2020-05-19,Tuesday,2020,4524,C0090405,Fleet,Daylight Transport,Long Beach,CA,"[""dryvan""]",6.0,not specified,no,Other,2017-01-10 18:27:52+00:00,,,no,,2017-01-20,2020-05-19,6,0,0,0,2671,0,2671
83469,2020-07-28,Tuesday,2020,20254,U0107946,Owner Operator,FLASH POINT TRANSPORT,Carson,CA,"[""poweronly""]",1.0,not specified,no,Other,2019-03-09 05:58:13+00:00,2019-11-21 01:26:11+00:00,256.0,yes,,2019-11-22,2020-07-28,1,10,6,16,26,0,26
83470,2017-05-25,Thursday,2017,5727,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-12-20,2017-05-25,1,0,0,0,81,0,81
83471,2019-03-20,Wednesday,2019,14089,C0092964,Fleet,wecan logistics,Temple City,CA,"[""dryvan"", ""poweronly""]",3.0,yes,no,Other,2018-09-06 18:01:43+00:00,2018-11-30 20:36:14+00:00,85.0,no,,2018-09-07,2019-03-20,1,8,0,8,108,0,108
83472,2020-12-15,Tuesday,2020,36898,C0095266,Fleet,Bel Enterprise,Los Angeles,CA,"[""poweronly""]",7.0,not specified,no,Other,2019-05-13 19:57:51+00:00,2019-05-13 20:01:23+00:00,0.0,no,,2020-11-20,2020-12-15,2,0,19,19,0,0,0
83473,2019-10-04,Friday,2019,4524,C0090405,Fleet,Daylight Transport,Long Beach,CA,"[""dryvan""]",6.0,not specified,no,Other,2017-01-10 18:27:52+00:00,,,no,,2017-01-20,2019-10-04,5,0,0,0,2671,0,2671
83474,2017-04-17,Monday,2017,1203,U0091042,Owner Operator,Vasquez Romero transportation ,Bloomington,CA,"[""dryvan""]",1.0,not specified,no,Other,2016-07-14 03:19:31+00:00,2019-08-16 18:39:40+00:00,1128.0,no,,2016-12-19,2017-04-17,1,12,0,12,18,0,18
83475,2017-10-27,Friday,2017,7488,U0096763,Owner Operator,K&L Transportation,Rancho Palos Verdes,CA,"[""dryvan""]",1.0,yes,no,Other,2017-08-11 22:51:35+00:00,2019-04-03 00:45:42+00:00,599.0,no,,2017-08-14,2017-10-27,1,97,0,97,86,0,86
83476,2020-05-08,Friday,2020,33332,C0095550,Fleet,GS Transport,South Gate,CA,"[""poweronly""]",4.0,not specified,no,Other,2019-06-05 02:11:05+00:00,2019-06-11 20:29:43+00:00,6.0,no,,2020-03-05,2020-05-08,1,5,0,5,0,0,0
83477,2017-01-23,Monday,2017,4247,C0090157,Fleet,Lipstick Transportation,Santa Fe Springs,CA,"[""dryvan""]",6.0,not specified,no,Other,2016-04-30 00:29:58+00:00,2019-06-17 21:58:51+00:00,1143.0,no,,2016-12-03,2017-01-23,1,0,0,0,21,0,21
83478,2019-12-03,Tuesday,2019,12896,C0092544,Fleet,meras trucking inc,Bell,CA,"[""dryvan"", ""poweronly""]",15.0,not specified,no,Other,2018-07-10 20:08:03+00:00,2019-03-07 23:11:26+00:00,240.0,no,California (Central)->Arizona|California (Southern)->Nevada (Northern)|California (Southern)->Nevada (Southern)|California (Southern)->Utah|California (Southern)->Texas (El Paso Region),2018-07-27,2019-12-03,2,23,0,23,165,0,165
83479,2019-02-06,Wednesday,2019,16841,C0090903,Fleet,Las Higueras,San Diego,CA,"[""dryvan""]",4.0,yes,no,Other,2017-09-07 15:56:41+00:00,2019-05-01 23:10:17+00:00,601.0,no,,2018-12-13,2019-02-06,1,14,0,14,2,0,2
83480,2020-06-03,Wednesday,2020,594,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-04-05,2020-06-03,3,0,0,0,1309,0,1309
83481,2020-11-04,Wednesday,2020,28322,U0115907,Owner Operator,Eagle flying express inc ,Gardena,CA,"[""poweronly""]",1.0,yes,yes,Mobile,2019-09-15 03:30:53+00:00,2019-12-13 22:04:12+00:00,89.0,yes,,2020-08-06,2020-11-04,7,0,409,409,2,371,373
83482,2020-11-30,Monday,2020,29652,C0096762,Fleet,MONTES CORPORATION,Los Angeles,CA,"[""dryvan"", ""poweronly""]",17.0,yes,yes,Other,2019-10-17 22:14:38+00:00,2019-10-17 22:16:16+00:00,0.0,yes,,2019-10-18,2020-11-30,1,50,113,163,11,39,50
83483,2016-03-07,Monday,2016,237,C0090004,Fleet,IDC OTR,City of industry,CA,"[""dryvan"", ""reefer""]",17.0,not specified,no,Other,2016-01-07 18:49:14+00:00,,,no,,2015-01-26,2016-03-07,1,0,0,0,114,0,114
83484,2021-02-12,Friday,2021,37751,C0098451,Fleet,Coco's Trucking Group Inc,Los Angeles,CA,"[""dryvan""]",2.0,yes,no,Other,2020-11-10 18:46:00+00:00,2020-11-11 01:32:08+00:00,0.0,no,,2021-02-08,2021-02-12,1,2,0,2,0,0,0
83485,2018-12-03,Monday,2018,16584,C0091212,Fleet,American Better Choice Corporation,Diamond Bar,CA,"[""dryvan"", ""poweronly""]",29.0,yes,no,Other,2017-12-05 21:03:35+00:00,2018-12-17 19:51:32+00:00,376.0,no,,2018-11-30,2018-12-03,1,1,0,1,10,0,10
83486,2018-04-29,Sunday,2018,10263,C0090412,Fleet,Carlos Flores,Los Angeles,CA,"[""dryvan""]",20.0,not specified,no,Other,2017-01-11 18:17:00+00:00,2019-06-28 19:55:04+00:00,898.0,no,,2018-03-05,2018-04-29,1,84,0,84,127,0,127
83487,2020-04-20,Monday,2020,16836,C0093728,Fleet,The Ying Group Inc,Temple City,CA,"[""dryvan""]",6.0,not specified,no,Other,2018-12-05 16:53:21+00:00,2018-12-07 16:54:37+00:00,2.0,no,,2018-12-14,2020-04-20,1,8,0,8,5,0,5
83488,2018-01-25,Thursday,2018,9161,U0098207,Owner Operator,Junior Trucking,Santa Fe Springs,CA,"[""dryvan""]",1.0,not specified,no,Other,2018-01-02 22:15:55+00:00,2019-04-08 22:37:22+00:00,461.0,no,,2018-01-03,2018-01-25,1,12,0,12,0,0,0
83489,2019-10-04,Friday,2019,22660,U0110291,Owner Operator,Oryan Trucking ,Lakewood,CA,"[""poweronly""]",1.0,yes,yes,Other,2019-05-09 16:54:12+00:00,2019-08-21 22:16:42+00:00,104.0,yes,,2019-09-23,2019-10-04,1,1,124,125,0,3,3
83490,2018-09-11,Tuesday,2018,13711,C0092860,Fleet,DOMESTIC CARRIER INC,Los Angeles County,CA,"[""dryvan""]",2.0,not specified,no,Other,2018-08-23 17:39:47+00:00,2019-02-26 19:27:47+00:00,187.0,no,,2018-09-11,2018-09-11,1,0,0,0,1,0,1
83491,2021-02-13,Saturday,2021,37027,C0098542,Fleet,Honest Brothers Transportation Inc,Los Angeles,CA,"[""poweronly""]",2.0,yes,yes,Other,2020-11-30 17:21:25+00:00,2020-11-30 17:42:51+00:00,0.0,no,,2020-12-03,2021-02-13,1,13,0,13,20,39,59
83492,2021-01-06,Wednesday,2021,33665,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,no,,2020-06-12,2021-01-06,2,0,0,0,0,0,0
83493,2020-11-10,Tuesday,2020,36776,C0097621,Fleet,Aide Trucking LLC,Irwindale,CA,"[""poweronly""]",7.0,yes,yes,Mobile,2020-03-13 12:49:20+00:00,2020-10-28 16:03:08+00:00,229.0,no,,2020-11-10,2020-11-10,2,0,0,0,0,8,8
83494,2017-01-20,Friday,2017,4709,C0090392,Fleet,Roadrunner Transportation,Los Angeles,CA,"[""dryvan""]",88.0,not specified,no,Other,2017-01-10 17:01:27+00:00,,,no,,2017-01-20,2017-01-20,1,0,0,0,5,0,5
83495,2020-07-09,Thursday,2020,28218,C0096303,Fleet,Alcala Bros Trucking,San Diego,CA,"[""dryvan"", ""poweronly""]",2.0,not specified,no,Other,2019-08-28 18:56:01+00:00,2019-09-11 17:23:18+00:00,13.0,no,,2019-09-25,2020-07-09,1,20,0,20,7,0,7
83496,2020-12-09,Wednesday,2020,34308,C0095540,Fleet,WEST COAST SHIPPERS INC,Los Angeles,CA,"[""poweronly""]",4.0,not specified,yes,Other,2019-06-04 01:57:05+00:00,2019-06-11 19:46:29+00:00,7.0,yes,,2020-05-19,2020-12-09,3,0,256,256,0,93,93
83497,2017-02-24,Friday,2017,4762,C0090392,Fleet,Roadrunner Transportation,Los Angeles,CA,"[""dryvan""]",88.0,not specified,no,Other,2017-01-10 17:01:27+00:00,,,no,,2017-01-28,2017-02-24,1,0,0,0,4,0,4
83498,2018-02-09,Friday,2018,935,U0090793,Owner Operator,Sky view Transportation,San Bernardino,CA,"[""dryvan""]",1.0,not specified,no,Other,2016-05-21 06:37:30+00:00,2019-07-17 23:21:43+00:00,1152.0,no,,2016-08-01,2018-02-09,1,32,0,32,13,0,13
83499,2018-08-16,Thursday,2018,4538,C0090412,Fleet,Carlos Flores,Los Angeles,CA,"[""dryvan""]",20.0,not specified,no,Other,2017-01-11 18:17:00+00:00,2019-06-28 19:55:04+00:00,898.0,no,,2017-01-11,2018-08-16,2,52,0,52,283,0,283
83500,2017-06-01,Thursday,2017,5272,U0094758,Owner Operator,IDC OTR,City of industry,CA,"[""dryvan""]",1.0,not specified,no,Other,2017-02-17 16:53:18+00:00,,,no,,2017-04-18,2017-06-01,2,28,0,28,13,0,13
83501,2019-01-18,Friday,2019,11973,C0092315,Fleet,American Freightways Lp.,San Diego,CA,"[""dryvan""]",17.0,not specified,no,Other,2018-06-04 18:59:07+00:00,2018-12-14 23:53:37+00:00,193.0,no,,2018-06-18,2019-01-18,1,12,0,12,94,0,94
83502,2017-08-10,Thursday,2017,6142,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2017-04-25,2017-08-10,1,0,0,0,29,0,29
83503,2021-01-24,Sunday,2021,30222,U0117613,Owner Operator,Rosas Transport,Santa Fe Springs,CA,"[""poweronly""]",1.0,not specified,yes,Mobile,2019-11-01 06:17:20+00:00,2019-12-05 19:28:34+00:00,34.0,yes,,2020-06-03,2021-01-24,7,1,253,254,0,3,3
83504,2020-04-22,Wednesday,2020,33614,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,no,,2020-03-10,2020-04-22,1,1,0,1,4,0,4
83505,2016-04-13,Wednesday,2016,560,C0090089,Fleet,MERIDIAN LOGISTICS INC,MONTEREY PARK,CA,"[""dryvan""]",13.0,not specified,no,Other,2016-03-07 20:04:19+00:00,2020-06-16 19:27:04+00:00,1561.0,no,,2016-03-14,2016-04-13,1,0,0,0,17,0,17
83506,2020-01-21,Tuesday,2020,7521,U0096795,Owner Operator,"Grapevine Express, LLC",Los Angeles,CA,"[""dryvan""]",1.0,yes,yes,Other,2017-08-14 20:24:52+00:00,2019-04-16 19:45:09+00:00,609.0,yes,,2017-09-08,2020-01-21,4,64,123,187,99,8,107
